source,country,group,k,n
20min.ch,Switzerland,Very high,0,9
24sata.hr,Croatia,Very high,14,37
aamulehti.fi,Finland,Very high,0,2
aawsat.com,Saudi Arabia,Very high,631,2949
abc.es,Spain,Very high,275,2464
abola.pt,Portugal,Very high,0,3
ad.nl,Netherlands,Very high,43,1041
adevarul.ro,Romania,Very high,12,75
aftonbladet.se,Sweden,Very high,4,37
aif.ru,Russia,Very high,139,845
aksam.com.tr,Turkey,Very high,312,2469
albayan.ae,United Arab Emirates,Very high,542,5477
almadapaper.net,Iraq,Medium,221,521
almasryalyoum.com,Egypt,High,122,907
alriyadh.com,Saudi Arabia,Very high,87,572
alwafd.news,Egypt,High,319,1874
arabnews.com,Saudi Arabia,Very high,1102,5247
asahi.com,Japan,Very high,329,3817
assabah.ma,Morocco,High,4,38
aujourdhui.ma,Morocco,High,48,942
azzaman.com,Iraq,Medium,41,195
berlingske.dk,Denmark,Very high,0,16
bharian.com.my,Malaysia,Very high,50,234
bild.de,Germany,Very high,134,2324
blesk.cz,Czech Republic,Very high,12,27
blic.rs,Serbia,Very high,325,1122
blick.ch,Switzerland,Very high,171,1696
blikk.hu,Hungary,Very high,5,21
borsonline.hu,Hungary,Very high,35,123
bt.dk,Denmark,Very high,0,10
busiweek.com,Uganda,Medium,21,102
capital.bg,Bulgaria,Very high,21,693
capitalethiopia.com,Ethiopia,Low,99,494
cas.sk,Slovakia,Very high,119,612
ce.cn,China,High,188,8957
ceskenoviny.cz,Czech Republic,Very high,97,961
chinadaily.com.cn,China,High,25,322
chosun.com,Korea,Very high,16,266
citizen.co.za,South Africa,High,4,24
clarin.com,Argentina,Very high,4,29
correiobraziliense.com.br,Brazil,High,824,3915
corriere.it,Italy,Very high,157,1903
dagbladet.no,Norway,Very high,9,39
dailyguidenetwork.com,Ghana,Medium,1,33
dailyinqilab.com,Bangladesh,Medium,200,649
dailymail.co.uk,United Kingdom,Very high,1452,8398
dailynews.co.th,Thailand,High,414,4428
dailynews.co.tz,Tanzania,Medium,139,941
dailypakistan.com.pk,Pakistan,Low,5,14
dailysun.co.za,South Africa,High,1,15
dailytelegraph.com.au,Australia,Very high,5,53
dailytimes.com.pk,Pakistan,Low,495,1805
dawn.com,Pakistan,Low,1249,3644
denik.cz,Czech Republic,Very high,0,5
derstandard.at,Austria,Very high,448,4073
df.cl,Chile,Very high,108,2130
dhnet.be,Belgium,Very high,1297,6882
diariocorreo.pe,Peru,High,65,350
diariodeibiza.es,Spain,Very high,934,5654
diepresse.com,Austria,Very high,382,3882
dimokratiki.gr,Greece,Very high,108,782
dn.se,Sweden,Very high,357,2907
donga.com,Korea,Very high,15,105
dsnews.ua,Ukraine,High,0,3
echoroukonline.com,Algeria,High,18,149
economx.hu,Hungary,Very high,80,650
ekstrabladet.dk,Denmark,Very high,92,1112
elbilad.net,Algeria,High,25,141
elcolombiano.com,Colombia,High,160,1173
elcomercio.com,Ecuador,High,91,489
elcomercio.pe,Peru,High,396,2045
eldeber.com.bo,Bolivia,High,372,1612
eldiario.net,Bolivia,High,1,5
eleconomista.com.mx,Mexico,High,400,3287
elespectador.com,Colombia,High,157,804
elfagr.org,Egypt,High,289,2629
elfinanciero.com.mx,Mexico,High,28,218
elheraldo.co,Colombia,High,129,1138
elheraldo.hn,Honduras,Medium,55,234
elkhabar.com,Algeria,High,35,174
elmostrador.cl,Chile,Very high,324,2304
elmundo.es,Spain,Very high,17,129
elpais.com,Spain,Very high,1209,6248
eltelegrafo.com.ec,Ecuador,High,7,32
eltiempo.com,Colombia,High,920,5385
eluniversal.com.mx,Mexico,High,595,2674
eluniverso.com,Ecuador,High,315,1666
emirates247.com,United Arab Emirates,Very high,31,852
english.ahram.org.eg,Egypt,High,301,1335
ennaharonline.com,Algeria,High,15,92
estadao.com.br,Brazil,High,5,22
evz.ro,Romania,Very high,23,128
excelsior.com.mx,Mexico,High,37,136
expreso.ec,Ecuador,High,231,1163
fakt.pl,Poland,Very high,6,32
fakty.ua,Ukraine,High,11,41
faz.net,Germany,Very high,223,2810
fijisun.com.fj,Fiji,High,0,1
fijitimes.com.fj,Fiji,High,0,9
ft.com,United Kingdom,Very high,456,8407
gazeta.pl,Poland,Very high,41,334
gazeta.ua,Ukraine,High,77,378
gazzetta.it,Italy,Very high,14,304
gestion.pe,Peru,High,320,2709
ghanaiantimes.com.gh,Ghana,Medium,117,685
globes.co.il,Israel,Very high,9,69
gp.se,Sweden,Very high,23,89
gsp.ro,Romania,Very high,0,3
guardian.ng,Nigeria,Medium,965,4576
gulfnews.com,United Arab Emirates,Very high,4,17
guyanachronicle.com,Guyana,High,0,4
haaretz.co.il,Israel,Very high,14,88
habarileo.co.tz,Tanzania,Medium,50,289
heraldsun.com.au,Australia,Very high,0,2
hindustantimes.com,India,Medium,0,1
hnonline.sk,Slovakia,Very high,128,1010
hs.fi,Finland,Very high,249,1853
hurriyet.com.tr,Turkey,Very high,723,4700
ilsole24ore.com,Italy,Very high,116,2797
independent.co.uk,United Kingdom,Very high,12,68
independent.ie,Ireland,Very high,601,5439
indianexpress.com,India,Medium,944,4970
infobae.com,Argentina,Very high,3,22
inquirer.net,Philippines,High,1,9
iol.co.za,South Africa,High,190,1464
irishexaminer.com,Ireland,Very high,0,8
irishmirror.ie,Ireland,Very high,142,791
irishtimes.com,Ireland,Very high,113,655
is.fi,Finland,Very high,146,869
iz.ru,Russia,Very high,194,1029
jamaica-gleaner.com,Jamaica,High,580,2911
jamaica-star.com,Jamaica,High,3,26
jamaicaobserver.com,Jamaica,High,54,197
jang.com.pk,Pakistan,Low,144,510
japantimes.co.jp,Japan,Very high,384,2649
jawapos.com,Indonesia,High,184,2462
jornaleconomico.sapo.pt,Portugal,Very high,9,422
jpost.com,Israel,Very high,7,58
jutarnji.hr,Croatia,Very high,419,2051
jyllands-posten.dk,Denmark,Very high,14,691
kaieteurnewsonline.com,Guyana,High,39,314
kauppalehti.fi,Finland,Very high,43,857
khaleejtimes.com,United Arab Emirates,Very high,0,5
khaosod.co.th,Thailand,High,181,2005
kleinezeitung.at,Austria,Very high,468,3326
koha.net,Serbia,Very high,86,304
kommersant.ru,Russia,Very high,56,807
kompas.com,Indonesia,High,450,2397
koran.tempo.co,Indonesia,High,6,156
kp.ru,Russia,Very high,4,11
krone.at,Austria,Very high,17,157
kurier.at,Austria,Very high,11,60
kurir.rs,Serbia,Very high,6,11
kyivpost.com,Ukraine,High,2,66
la-razon.com,Bolivia,High,0,3
lalibre.be,Belgium,Very high,1478,7826
lanacion.cl,Chile,Very high,19,145
lanacion.com.ar,Argentina,Very high,274,1340
laprensa.hn,Honduras,Medium,143,486
lapresse.ca,Canada,Very high,962,5381
larepublica.pe,Peru,High,460,2363
lastampa.it,Italy,Very high,315,2473
latercera.com,Chile,Very high,233,1997
latribuna.hn,Honduras,Medium,422,1834
lavieeco.com,Morocco,High,29,555
leconomiste.com,Morocco,High,13,368
lefigaro.fr,France,Very high,433,5748
lematin.ma,Morocco,High,113,1240
lemauricien.com,Mauritius,Very high,217,959
lemonde.fr,France,Very high,1002,7595
leparisien.fr,France,Very high,14,104
lequipe.fr,France,Very high,4,73
lequotidien.sn,Senegal,Low,21,155
lesoir.be,Belgium,Very high,108,1076
lesoleil.sn,Senegal,Low,13,60
letemps.ch,Switzerland,Very high,67,479
lexpress.mu,Mauritius,Very high,2,16
liberation.fr,France,Very high,456,3164
libertatea.ro,Romania,Very high,296,1032
liberte-algerie.com,Algeria,High,0,1
lidovky.cz,Czech Republic,Very high,44,461
limerickleader.ie,Ireland,Very high,41,760
lostiempos.com,Bolivia,High,177,738
magyarnemzet.hu,Hungary,Very high,2,96
mainichi.jp,Japan,Very high,542,4476
malaymail.com,Malaysia,Very high,1012,4741
maldivesindependent.com,Maldives,High,2,12
manoramaonline.com,India,Medium,133,725
marca.com,Spain,Very high,3,14
mathrubhumi.com,India,Medium,52,418
mb.com.ph,Philippines,High,519,2969
mg.co.za,South Africa,High,185,937
mgronline.com,Thailand,High,187,1329
milenio.com,Mexico,High,17,149
milliyet.com.tr,Turkey,Very high,765,5195
mk.co.kr,Korea,Very high,3,181
mk.ru,Russia,Very high,321,1139
monitor.co.ug,Uganda,Medium,152,571
naftemporiki.gr,Greece,Very high,514,4265
naszemiasto.pl,Poland,Very high,5,107
nation.co.ke,Kenya,Medium,8,44
nationalpost.com,Canada,Very high,440,4635
nepszava.hu,Hungary,Very high,48,367
news.mingpao.com,China,High,164,1371
newsabah.com,Iraq,Medium,17,55
newvision.co.ug,Uganda,Medium,40,125
nieuwsblad.be,Belgium,Very high,0,1
nikkei.com,Japan,Very high,246,12077
novilist.hr,Croatia,Very high,30,156
novosti.rs,Serbia,Very high,196,905
nrc.nl,Netherlands,Very high,365,3464
nypost.com,United States,Very high,345,2034
nytimes.com,United States,Very high,1604,7682
nzz.ch,Switzerland,Very high,0,22
observer.ug,Uganda,Medium,53,196
okaz.com.sa,Saudi Arabia,Very high,100,597
opovo.com.br,Brazil,High,88,550
perfil.com,Argentina,Very high,305,1557
philstar.com,Philippines,High,501,3061
pluska.sk,Slovakia,Very high,35,199
politiken.dk,Denmark,Very high,0,4
portafolio.co,Colombia,High,162,2365
postcourier.com.pg,Papua New Guinea,Medium,77,741
prothomalo.com,Bangladesh,Medium,202,1334
publico.pt,Portugal,Very high,1,2
publimetro.cl,Chile,Very high,20,183
punchng.com,Nigeria,Medium,523,2461
realitatea.net,Romania,Very high,126,702
record.pt,Portugal,Very high,4,59
repubblica.it,Italy,Very high,704,5666
republika.co.id,Indonesia,High,4,22
sabah.com.tr,Turkey,Very high,380,3271
saudigazette.com.sa,Saudi Arabia,Very high,13,81
scmp.com,Hong Kong,Very high,644,4943
se.pl,Poland,Very high,3,84
seattletimes.com,United States,Very high,675,3005
segabg.com,Bulgaria,Very high,33,295
sggp.org.vn,Vietnam,High,210,2626
slobodnadalmacija.hr,Croatia,Very high,316,1220
sme.sk,Slovakia,Very high,28,193
smh.com.au,Australia,Very high,9,92
sozcu.com.tr,Turkey,Very high,688,3443
stabroeknews.com,Guyana,High,7,92
standaard.be,Belgium,Very high,62,620
standardmedia.co.ke,Kenya,Medium,889,3180
standartnews.com,Bulgaria,Very high,89,846
sueddeutsche.de,Germany,Very high,336,10402
sunstar.com.ph,Philippines,High,0,7
svd.se,Sweden,Very high,1,12
tagesanzeiger.ch,Switzerland,Very high,170,1606
tanea.gr,Greece,Very high,3,10
telegraaf.nl,Netherlands,Very high,31,816
telegraf.rs,Serbia,Very high,239,769
telegraph.co.uk,United Kingdom,Very high,523,5809
theage.com.au,Australia,Very high,8,185
thebftonline.com,Ghana,Medium,0,21
thechronicle.com.gh,Ghana,Medium,49,322
thedailystar.net,Bangladesh,Medium,896,4132
theeastafrican.co.ke,Kenya,Medium,190,646
theglobeandmail.com,Canada,Very high,967,7892
theguardian.com,United Kingdom,Very high,3281,19983
thehindu.com,India,Medium,3,19
thejakartapost.com,Indonesia,High,379,3018
thenationalnews.com,United Arab Emirates,Very high,847,6573
thenationonlineng.net,Nigeria,Medium,212,1278
thenews.com.pk,Pakistan,Low,1911,7058
thepostnpcameroon.com,Cameroon,Medium,1,7
thestar.com,Canada,Very high,2002,9989
thestar.com.my,Malaysia,Very high,25,252
thesunnewspaper.cm,Cameroon,Medium,5,25
thisdaylive.com,Nigeria,Medium,331,2508
tiempo.hn,Honduras,Medium,157,437
tienphong.vn,Vietnam,High,1,16
timeslive.co.za,South Africa,High,175,1037
tnp.sg,Singapore,Very high,0,1
todayonline.com,Singapore,Very high,79,542
topick.hket.com,Hong Kong,Very high,36,413
topky.sk,Slovakia,Very high,17,100
tovima.gr,Greece,Very high,2,23
trouw.nl,Netherlands,Very high,274,2666
valor.com.br,Brazil,High,14,150
vancouversun.com,Canada,Very high,174,1236
vanguardngr.com,Nigeria,Medium,171,713
vecernji.hr,Croatia,Very high,322,1504
vg.no,Norway,Very high,2,6
vietnamnews.vn,Vietnam,High,111,2739
vneconomy.vn,Vietnam,High,124,2995
volkskrant.nl,Netherlands,Very high,243,2105
washingtonpost.com,United States,Very high,865,5010
welt.de,Germany,Very high,633,9604
wenweipo.com,Hong Kong,Very high,145,1593
wsj.com,United States,Very high,114,3849
ycwb.com,China,High,0,1
ynet.co.il,Israel,Very high,24,87
yomiuri.co.jp,Japan,Very high,120,1607
zaobao.com.sg,Singapore,Very high,411,3218
zn.ua,Ukraine,High,232,1152
